Date,Close Price,Percentage Change
2023-11-20,147.64,-0.55%
2023-11-06,130.8,2.35%
2023-10-23,122.42,-3.70%
2023-10-09,133.48,-0.88%
2023-09-25,135.66,1.82%
2023-09-11,138.1,0.71%
2023-08-28,137.5,0.81%
2023-08-14,134.4,-2.20%
2023-07-31,148.84,-3.53%
2023-07-17,151.6,0.66%
2023-07-03,142.62,-6.50%
2023-06-19,156.98,-4.15%
2023-06-05,158.14,-0.72%
2023-05-22,156.68,-1.94%
2023-05-08,150.1,-0.25%
2023-04-24,148.9,2.24%
2023-04-10,146.16,3.57%
2023-03-27,149.26,6.17%
2023-03-13,137.36,-6.87%
2023-02-27,147.08,3.97%
2023-02-13,145.44,2.72%
2023-01-30,140.9,0.67%
2023-01-16,137.84,-0.39%
2023-01-02,132.27,5.01%
2022-12-19,124.88,1.15%
2022-12-05,129.64,-0.94%
2022-11-21,128.3,-0.33%
2022-11-07,119.11,8.46%
2022-10-24,108.27,4.31%
2022-10-10,101.2,1.46%
2022-09-26,98.32,2.61%
2022-09-12,97.29,-4.63%
2022-08-29,101.9,1.92%
2022-08-15,105.12,-3.25%
2022-08-01,105.55,0.09%
2022-07-18,102.42,5.31%
2022-07-04,97.0,4.00%
2022-06-20,99.7,-0.97%
2022-06-06,111.83,-7.19%
2022-05-23,115.15,2.99%
2022-05-09,110.66,-2.30%
2022-04-25,114.43,-0.39%
2022-04-11,113.67,-0.93%
2022-03-28,123.1,-1.31%
2022-03-14,132.17,6.88%
2022-02-28,110.0,-12.72%
2022-02-14,132.46,-0.86%
2022-01-31,125.49,-3.98%
2022-01-17,136.53,-0.92%
2022-01-03,143.74,-0.34%
2021-12-20,141.91,1.57%
2021-12-06,142.69,3.07%
2021-11-22,137.21,-6.42%
2021-11-08,140.19,1.94%
2021-10-25,132.52,0.52%
2021-10-11,133.45,2.62%
2021-09-27,130.08,-6.93%
2021-09-13,141.25,2.35%
2021-08-30,134.69,1.35%
2021-08-16,130.92,-2.49%
2021-08-02,132.54,6.63%
2021-07-19,127.12,3.99%
2021-07-05,125.49,-0.76%
2021-06-21,129.35,2.41%
2021-06-07,129.16,0.53%
2021-05-24,127.44,-0.71%
2021-05-10,136.49,0.14%
2021-04-26,131.14,-2.88%
2021-04-12,137.89,3.96%
2021-03-29,133.01,2.49%
2021-03-15,130.14,1.76%
2021-03-01,121.98,0.89%
2021-02-15,125.15,-1.15%
2021-02-01,122.69,4.19%
2021-01-18,122.23,10.87%
2021-01-04,114.13,5.51%
2020-12-21,107.68,-0.70%
2020-12-07,103.71,-0.55%
2020-11-23,103.71,2.83%
2020-11-09,104.04,4.05%
2020-10-26,92.68,-8.17%
2020-10-12,102.13,-0.54%
2020-09-28,97.45,-5.19%
2020-09-14,108.27,0.41%
2020-08-31,106.49,-2.13%
2020-08-17,106.71,-0.24%
2020-08-03,106.71,7.03%
2020-07-20,103.8,0.57%
2020-07-06,99.4,1.85%
2020-06-22,93.73,-1.91%
2020-06-08,90.71,-9.19%
2020-05-25,90.69,5.27%
2020-05-11,79.28,-2.48%
2020-04-27,77.94,7.96%
2020-04-13,74.1,-1.02%
2020-03-30,70.25,4.63%
2020-03-16,61.66,-3.74%
2020-03-02,80.22,-6.48%
2020-02-17,96.95,-1.24%
2020-02-03,96.26,-2.99%
2020-01-20,104.81,0.70%
2020-01-06,103.1,-0.31%
2019-12-23,105.09,0.08%
2019-12-09,104.69,0.84%
2019-11-25,104.1,2.04%
