Company,Date,Close Price,Percentage Change
504.09,2022-01-31,242.88,6.48%
504.09,2022-01-17,233.44,-13.24%
504.09,2022-01-03,272.12,-7.36%
504.09,2021-12-20,296.02,6.61%
504.09,2021-12-06,301.59,-1.60%
504.09,2021-11-22,314.59,-4.49%
504.09,2021-11-08,303.47,2.14%
504.09,2021-10-25,255.31,12.50%
504.09,2021-10-11,218.31,4.95%
504.09,2021-09-27,207.13,-6.06%
504.09,2021-09-13,218.69,-2.57%
504.09,2021-08-30,228.07,0.91%
504.09,2021-08-16,207.83,3.11%
504.09,2021-08-02,203.34,4.45%
504.09,2021-07-19,195.27,7.69%
504.09,2021-07-05,200.18,-2.13%
504.09,2021-06-21,190.01,2.10%
504.09,2021-06-07,177.93,1.41%
504.09,2021-05-24,162.15,8.36%
504.09,2021-05-10,142.17,-3.84%
504.09,2021-04-26,149.82,-1.68%
504.09,2021-04-12,158.84,10.50%
504.09,2021-03-29,137.87,7.57%
504.09,2021-03-15,128.22,-0.05%
504.09,2021-03-01,124.35,-9.14%
504.09,2021-02-15,148.94,-0.23%
504.09,2021-02-01,135.62,4.63%
504.09,2021-01-18,136.83,6.63%
504.09,2021-01-04,132.48,1.70%
504.09,2020-12-21,129.66,-2.10%
504.09,2020-12-07,129.85,-3.99%
504.09,2020-11-23,132.29,1.33%
504.09,2020-11-09,132.64,-8.69%
504.09,2020-10-26,125.03,-7.77%
504.09,2020-10-12,137.78,0.35%
504.09,2020-09-28,130.3,1.46%
504.09,2020-09-14,121.59,0.20%
504.09,2020-08-31,125.88,-3.99%
504.09,2020-08-17,126.49,9.68%
504.09,2020-08-03,111.69,5.51%
504.09,2020-07-20,101.66,-0.07%
504.09,2020-07-06,104.5,9.02%
504.09,2020-06-22,91.3,-1.15%
504.09,2020-06-08,89.08,0.19%
504.09,2020-05-25,88.47,-1.67%
504.09,2020-05-11,84.64,8.68%
504.09,2020-04-27,70.47,-2.35%
504.09,2020-04-13,72.85,11.17%
504.09,2020-03-30,60.78,-3.49%
504.09,2020-03-16,51.27,-14.57%
504.09,2020-03-02,66.3,-1.43%
504.09,2020-02-17,73.24,1.48%
504.09,2020-02-03,62.66,6.41%
504.09,2020-01-20,62.38,0.48%
504.09,2020-01-06,60.85,3.49%
504.09,2019-12-23,58.99,-1.04%
504.09,2019-12-09,55.78,5.57%
504.09,2019-11-25,53.94,2.77%
249.97,2023-11-20,249.97,0.16%
249.97,2023-11-06,244.73,0.68%
249.97,2023-10-23,228.78,-1.76%
249.97,2023-10-09,237.17,1.12%
249.97,2023-09-25,229.52,-2.16%
249.97,2023-09-11,240.56,-2.52%
249.97,2023-08-28,247.58,2.28%
249.97,2023-08-14,237.66,-0.59%
249.97,2023-07-31,238.03,1.37%
249.97,2023-07-17,238.29,-1.61%
249.97,2023-07-03,235.5,-0.43%
249.97,2023-06-19,228.63,0.28%
249.97,2023-06-05,222.67,-2.29%
249.97,2023-05-22,224.11,-3.56%
249.97,2023-05-08,230.01,-0.17%
249.97,2023-04-24,231.35,-0.56%
249.97,2023-04-10,232.63,3.55%
249.97,2023-03-27,224.12,2.00%
249.97,2023-03-13,216.1,0.58%
249.97,2023-02-27,222.44,1.92%
249.97,2023-02-13,222.23,-1.41%
249.97,2023-01-30,228.32,-0.57%
249.97,2023-01-16,222.54,0.56%
249.97,2023-01-02,216.03,4.81%
249.97,2022-12-19,204.21,-0.51%
249.97,2022-12-05,207.06,-4.12%
249.97,2022-11-21,212.11,1.42%
249.97,2022-11-07,202.93,4.07%
249.97,2022-10-24,207.23,9.96%
249.97,2022-10-10,180.78,-0.66%
249.97,2022-09-26,175.86,-3.43%
249.97,2022-09-12,191.35,-5.80%
249.97,2022-08-29,195.76,-2.53%
249.97,2022-08-15,210.67,0.88%
249.97,2022-08-01,213.31,1.77%
249.97,2022-07-18,211.17,1.74%
249.97,2022-07-04,201.16,2.20%
249.97,2022-06-20,203.08,8.16%
249.97,2022-06-06,197.15,-6.18%
249.97,2022-05-23,210.36,6.96%
249.97,2022-05-09,196.5,-1.77%
249.97,2022-04-25,210.2,2.38%
249.97,2022-04-11,209.87,-1.93%
249.97,2022-03-28,223.25,3.63%
249.97,2022-03-14,216.1,11.39%
249.97,2022-02-28,197.54,-8.66%
249.97,2022-02-14,219.63,-0.73%
249.97,2022-01-31,224.89,0.17%
249.97,2022-01-17,202.77,-4.07%
249.97,2022-01-03,213.63,0.12%
249.97,2021-12-20,213.3,2.24%
249.97,2021-12-06,210.13,8.70%
249.97,2021-11-22,194.62,-1.60%
249.97,2021-11-08,208.47,-2.11%
249.97,2021-10-25,208.16,-8.42%
249.97,2021-10-11,227.05,0.31%
249.97,2021-09-27,226.53,-0.49%
249.97,2021-09-13,217.97,-1.40%
249.97,2021-08-30,221.27,-3.26%
249.97,2021-08-16,227.41,-0.42%
249.97,2021-08-02,236.96,-2.03%
249.97,2021-07-19,244.44,0.36%
249.97,2021-07-05,234.08,-0.07%
249.97,2021-06-21,232.95,3.00%
249.97,2021-06-07,230.64,2.09%
249.97,2021-05-24,223.12,0.23%
249.97,2021-05-10,222.44,-2.23%
249.97,2021-04-26,228.93,1.55%
249.97,2021-04-12,221.92,1.75%
249.97,2021-03-29,212.56,1.56%
249.97,2021-03-15,202.8,-7.78%
249.97,2021-03-01,211.14,1.42%
249.97,2021-02-15,200.67,-2.34%
249.97,2021-02-01,204.32,8.03%
249.97,2021-01-18,197.71,0.21%
249.97,2021-01-04,210.85,-1.50%
249.97,2020-12-21,204.25,-1.24%
249.97,2020-12-07,201.84,-3.03%
249.97,2020-11-23,206.5,3.49%
249.97,2020-11-09,205.68,6.05%
249.97,2020-10-26,177.56,-8.23%
249.97,2020-10-12,195.69,-3.09%
249.97,2020-09-28,196.86,2.13%
249.97,2020-09-14,197.99,0.96%
249.97,2020-08-31,199.99,-5.12%
249.97,2020-08-17,199.47,3.97%
249.97,2020-08-03,191.59,3.13%
249.97,2020-07-20,190.41,0.03%
249.97,2020-07-06,187.87,-1.59%
249.97,2020-06-22,184.67,-1.52%
249.97,2020-06-08,187.59,-3.68%
249.97,2020-05-25,190.5,2.29%
249.97,2020-05-11,178.73,-0.86%
249.97,2020-04-27,171.02,4.93%
249.97,2020-04-13,165.15,-2.39%
249.97,2020-03-30,147.91,-6.01%
249.97,2020-03-16,143.02,-16.49%
249.97,2020-03-02,179.58,1.43%
249.97,2020-02-17,203.4,-0.56%
249.97,2020-02-03,197.2,1.89%
249.97,2020-01-20,199.4,0.15%
249.97,2020-01-06,188.48,2.20%
249.97,2019-12-23,184.21,0.74%
249.97,2019-12-09,180.08,1.63%
249.97,2019-11-25,179.47,2.81%
404.4,2023-11-20,404.4,1.02%
404.4,2023-11-06,394.38,2.16%
404.4,2023-10-23,364.08,-5.29%
404.4,2023-10-09,398.03,0.16%
404.4,2023-09-25,395.34,-1.57%
404.4,2023-09-11,413.71,-0.13%
404.4,2023-08-28,414.97,3.15%
404.4,2023-08-14,391.6,-0.71%
404.4,2023-07-31,390.78,-0.41%
404.4,2023-07-17,396.91,-1.25%
404.4,2023-07-03,387.56,-1.17%
404.4,2023-06-19,378.71,0.87%
404.4,2023-06-05,368.15,-1.21%
404.4,2023-05-22,373.29,-2.90%
404.4,2023-05-08,380.82,-0.71%
404.4,2023-04-24,378.93,1.28%
404.4,2023-04-10,371.35,3.19%
404.4,2023-03-27,361.79,3.35%
404.4,2023-03-13,348.1,0.73%
404.4,2023-02-27,359.89,2.37%
404.4,2023-02-13,359.52,-1.55%
404.4,2023-01-30,372.25,-0.03%
404.4,2023-01-16,374.61,0.20%
404.4,2023-01-02,365.44,5.73%
404.4,2022-12-19,341.52,-0.65%
404.4,2022-12-05,346.71,-3.12%
404.4,2022-11-21,349.16,2.21%
404.4,2022-11-07,337.23,6.57%
404.4,2022-10-24,327.47,8.96%
404.4,2022-10-10,286.94,-1.97%
404.4,2022-09-26,282.16,-3.15%
404.4,2022-09-12,312.71,-6.17%
404.4,2022-08-29,320.09,-2.83%
404.4,2022-08-15,351.56,0.00%
404.4,2022-08-01,354.77,1.05%
404.4,2022-07-18,341.24,3.40%
404.4,2022-07-04,320.09,1.51%
404.4,2022-06-20,327.46,6.38%
404.4,2022-06-06,331.68,-6.45%
404.4,2022-05-23,354.49,6.43%
404.4,2022-05-09,329.74,-4.13%
404.4,2022-04-25,360.04,3.47%
404.4,2022-04-11,354.53,1.72%
404.4,2022-03-28,360.13,4.28%
404.4,2022-03-14,346.39,7.79%
404.4,2022-02-28,327.27,-10.38%
404.4,2022-02-14,366.04,0.05%
404.4,2022-01-31,378.17,-0.08%
404.4,2022-01-17,351.33,-4.58%
404.4,2022-01-03,365.27,2.87%
404.4,2021-12-20,356.31,3.23%
404.4,2021-12-06,345.77,8.63%
404.4,2021-11-22,320.33,-4.58%
404.4,2021-11-08,359.19,4.22%
404.4,2021-10-25,331.54,-6.45%
404.4,2021-10-11,351.78,0.42%
404.4,2021-09-27,355.46,0.56%
404.4,2021-09-13,338.55,-1.25%
404.4,2021-08-30,335.77,-4.36%
404.4,2021-08-16,350.34,-2.14%
404.4,2021-08-02,369.62,-2.96%
404.4,2021-07-19,388.11,1.59%
404.4,2021-07-05,367.62,-0.56%
404.4,2021-06-21,374.2,3.32%
404.4,2021-06-07,360.29,-0.14%
404.4,2021-05-24,355.44,-1.91%
404.4,2021-05-10,358.72,-3.06%
404.4,2021-04-26,376.61,-1.29%
404.4,2021-04-12,380.66,1.72%
404.4,2021-03-29,357.69,-0.78%
404.4,2021-03-15,351.01,-6.85%
404.4,2021-03-01,355.31,1.99%
404.4,2021-02-15,328.03,-2.30%
404.4,2021-02-01,333.52,7.10%
404.4,2021-01-18,323.91,1.77%
404.4,2021-01-04,347.95,-0.87%
404.4,2020-12-21,330.4,-1.27%
404.4,2020-12-07,321.96,-4.92%
404.4,2020-11-23,333.42,4.98%
404.4,2020-11-09,329.44,6.82%
404.4,2020-10-26,283.83,-12.43%
404.4,2020-10-12,333.74,-3.57%
404.4,2020-09-28,332.79,2.12%
404.4,2020-09-14,329.29,1.55%
404.4,2020-08-31,329.04,-8.50%
404.4,2020-08-17,331.09,3.15%
404.4,2020-08-03,322.17,6.32%
404.4,2020-07-20,301.45,0.94%
404.4,2020-07-06,290.02,-2.23%
404.4,2020-06-22,283.8,-2.41%
404.4,2020-06-08,292.09,-4.52%
404.4,2020-05-25,295.13,2.03%
404.4,2020-05-11,273.6,-1.24%
404.4,2020-04-27,263.6,3.86%
404.4,2020-04-13,255.0,-3.35%
404.4,2020-03-30,232.14,-4.29%
404.4,2020-03-16,207.06,-21.70%
404.4,2020-03-02,281.08,-1.12%
404.4,2020-02-17,332.69,-0.37%
404.4,2020-02-03,320.25,3.50%
404.4,2020-01-20,316.99,0.00%
404.4,2020-01-06,304.34,3.57%
404.4,2019-12-23,294.14,0.73%
404.4,2019-12-09,289.59,1.96%
404.4,2019-11-25,285.82,3.42%
116.92,2023-11-20,116.92,1.35%
116.92,2023-11-06,113.07,4.65%
116.92,2023-10-23,100.99,-0.84%
116.92,2023-10-09,107.86,-1.56%
116.92,2023-09-25,105.53,-2.85%
116.92,2023-09-11,113.49,-9.82%
116.92,2023-08-28,120.49,4.20%
116.92,2023-08-14,116.04,3.01%
116.92,2023-07-31,114.02,-1.34%
116.92,2023-07-17,117.22,-1.01%
116.92,2023-07-03,113.79,-3.76%
116.92,2023-06-19,117.79,-5.44%
116.92,2023-06-05,109.07,3.74%
116.92,2023-05-22,103.34,1.21%
116.92,2023-05-08,97.15,0.91%
116.92,2023-04-24,94.04,-0.45%
116.92,2023-04-10,94.63,-0.22%
116.92,2023-03-27,91.87,5.58%
116.92,2023-03-13,84.3,1.42%
116.92,2023-02-27,88.24,0.67%
116.92,2023-02-13,86.3,0.16%
116.92,2023-01-30,88.61,0.71%
116.92,2023-01-16,86.27,-1.82%
116.92,2023-01-02,84.38,4.80%
116.92,2022-12-19,79.64,1.60%
116.92,2022-12-05,78.66,-4.19%
116.92,2022-11-21,81.48,3.75%
116.92,2022-11-07,76.58,2.29%
116.92,2022-10-24,76.2,6.41%
116.92,2022-10-10,63.02,1.61%
116.92,2022-09-26,59.85,-5.39%
116.92,2022-09-12,67.45,-9.33%
116.92,2022-08-29,73.19,0.04%
116.92,2022-08-15,77.09,-0.62%
116.92,2022-08-01,75.8,-0.63%
116.92,2022-07-18,73.4,6.35%
116.92,2022-07-04,70.12,1.41%
116.92,2022-06-20,68.98,4.40%
116.92,2022-06-06,65.5,-6.48%
116.92,2022-05-23,71.01,6.05%
116.92,2022-05-09,69.44,-1.82%
116.92,2022-04-25,71.61,-3.69%
116.92,2022-04-11,77.51,-1.46%
116.92,2022-03-28,79.7,0.34%
116.92,2022-03-14,79.38,4.96%
116.92,2022-02-28,74.34,0.18%
116.92,2022-02-14,72.47,-6.50%
116.92,2022-01-31,79.8,2.03%
116.92,2022-01-17,79.9,-6.24%
116.92,2022-01-03,84.73,0.34%
116.92,2021-12-20,86.87,-7.14%
116.92,2021-12-06,99.37,16.31%
116.92,2021-11-22,89.4,-1.75%
116.92,2021-11-08,90.57,-1.48%
116.92,2021-10-25,92.89,-2.35%
116.92,2021-10-11,92.3,1.35%
116.92,2021-09-27,86.59,-0.22%
116.92,2021-09-13,83.36,-3.67%
116.92,2021-08-30,86.84,0.73%
116.92,2021-08-16,85.82,-1.59%
116.92,2021-08-02,86.38,2.73%
116.92,2021-07-19,84.61,0.60%
116.92,2021-07-05,84.37,7.26%
116.92,2021-06-21,75.43,2.93%
116.92,2021-06-07,79.69,0.01%
116.92,2021-05-24,75.7,-0.37%
116.92,2021-05-10,75.84,-1.88%
116.92,2021-04-26,72.86,1.09%
116.92,2021-04-12,75.9,4.91%
116.92,2021-03-29,68.74,2.22%
116.92,2021-03-15,63.42,-1.34%
116.92,2021-03-01,66.97,8.46%
116.92,2021-02-15,58.51,-3.09%
116.92,2021-02-01,60.88,5.25%
116.92,2021-01-18,57.78,-2.30%
116.92,2021-01-04,60.44,-2.03%
116.92,2020-12-21,61.94,-0.15%
116.92,2020-12-07,57.79,1.08%
116.92,2020-11-23,55.08,3.70%
116.92,2020-11-09,54.27,0.19%
116.92,2020-10-26,53.5,-6.33%
116.92,2020-10-12,57.49,-1.01%
116.92,2020-09-28,55.87,-1.62%
116.92,2020-09-14,56.74,4.82%
116.92,2020-08-31,52.93,-3.71%
116.92,2020-08-17,52.41,1.83%
116.92,2020-08-03,52.45,-0.40%
116.92,2020-07-20,52.85,1.79%
116.92,2020-07-06,54.27,2.59%
116.92,2020-06-22,51.24,-0.40%
116.92,2020-06-08,49.04,-3.93%
116.92,2020-05-25,50.85,2.19%
116.92,2020-05-11,50.05,-1.21%
116.92,2020-04-27,48.98,-2.30%
116.92,2020-04-13,51.65,3.20%
116.92,2020-03-30,46.5,-0.86%
116.92,2020-03-16,42.97,-4.76%
116.92,2020-03-02,44.59,-4.23%
116.92,2020-02-17,51.47,-1.42%
116.92,2020-02-03,51.5,4.33%
116.92,2020-01-20,50.89,-1.92%
116.92,2020-01-06,51.02,1.28%
116.92,2019-12-23,50.1,-0.26%
116.92,2019-12-09,51.08,-0.58%
116.92,2019-11-25,52.61,-0.44%
57.4,2023-11-20,57.4,0.24%
57.4,2023-11-06,56.72,-0.04%
57.4,2023-10-23,55.24,1.23%
57.4,2023-10-09,52.89,-0.47%
57.4,2023-09-25,55.98,-2.81%
57.4,2023-09-11,57.48,-0.67%
57.4,2023-08-28,58.84,-1.79%
57.4,2023-08-14,60.47,-0.36%
57.4,2023-07-31,60.23,-2.83%
57.4,2023-07-17,61.95,2.53%
57.4,2023-07-03,59.29,-0.76%
57.4,2023-06-19,60.72,-0.01%
57.4,2023-06-05,59.54,-1.13%
57.4,2023-05-22,59.33,-4.09%
57.4,2023-05-08,63.12,0.14%
57.4,2023-04-24,63.16,0.16%
57.4,2023-04-10,62.08,0.33%
57.4,2023-03-27,61.08,1.86%
57.4,2023-03-13,58.65,1.37%
57.4,2023-02-27,58.08,-0.67%
57.4,2023-02-13,58.75,0.84%
57.4,2023-01-30,58.46,-1.09%
57.4,2023-01-16,58.71,-2.20%
57.4,2023-01-02,61.95,-0.33%
57.4,2022-12-19,62.36,1.71%
57.4,2022-12-05,61.7,-1.18%
57.4,2022-11-21,60.83,2.54%
57.4,2022-11-07,59.5,3.48%
57.4,2022-10-24,58.95,8.58%
57.4,2022-10-10,53.34,0.86%
57.4,2022-09-26,54.35,-4.40%
57.4,2022-09-12,57.35,-4.46%
57.4,2022-08-29,58.9,-3.11%
57.4,2022-08-15,62.77,2.31%
57.4,2022-08-01,61.05,-1.23%
57.4,2022-07-18,59.33,-1.46%
57.4,2022-07-04,60.82,-1.93%
57.4,2022-06-20,60.72,6.84%
57.4,2022-06-06,58.73,-2.48%
57.4,2022-05-23,61.85,6.07%
57.4,2022-05-09,62.85,1.51%
57.4,2022-04-25,61.79,-0.98%
57.4,2022-04-11,62.18,1.86%
57.4,2022-03-28,60.12,2.18%
57.4,2022-03-14,57.04,3.76%
57.4,2022-02-28,59.38,-0.45%
57.4,2022-02-14,59.35,3.73%
57.4,2022-01-31,57.85,0.20%
57.4,2022-01-17,57.37,-1.53%
57.4,2022-01-03,57.26,1.89%
57.4,2021-12-20,55.25,0.85%
57.4,2021-12-06,53.41,5.93%
57.4,2021-11-22,50.6,-2.54%
57.4,2021-11-08,53.31,-0.40%
57.4,2021-10-25,53.09,3.53%
57.4,2021-10-11,51.31,0.67%
57.4,2021-09-27,49.93,-1.61%
57.4,2021-09-13,50.89,-2.10%
57.4,2021-08-30,53.03,1.94%
57.4,2021-08-16,52.94,-1.03%
57.4,2021-08-02,52.94,-0.68%
57.4,2021-07-19,53.29,1.08%
57.4,2021-07-05,50.9,0.52%
57.4,2021-06-21,50.77,1.78%
57.4,2021-06-07,52.1,-0.14%
57.4,2021-05-24,51.29,1.23%
57.4,2021-05-10,50.77,0.40%
57.4,2021-04-26,50.08,-0.90%
57.4,2021-04-12,49.8,0.94%
57.4,2021-03-29,48.71,-1.00%
57.4,2021-03-15,47.14,1.73%
57.4,2021-03-01,46.73,3.67%
57.4,2021-02-15,46.1,-1.14%
57.4,2021-02-01,45.68,3.12%
57.4,2021-01-18,44.61,-0.43%
57.4,2021-01-04,47.0,-6.86%
57.4,2020-12-21,49.17,-0.56%
57.4,2020-12-07,49.08,-0.15%
57.4,2020-11-23,48.11,0.06%
57.4,2020-11-09,48.79,8.09%
57.4,2020-10-26,43.87,-4.87%
57.4,2020-10-12,45.67,-1.54%
57.4,2020-09-28,45.06,1.31%
57.4,2020-09-14,45.69,-1.19%
57.4,2020-08-31,46.22,2.43%
57.4,2020-08-17,42.81,-2.41%
57.4,2020-08-03,43.29,1.19%
57.4,2020-07-20,43.91,3.57%
57.4,2020-07-06,40.89,0.60%
57.4,2020-06-22,39.46,-5.32%
57.4,2020-06-08,40.92,-7.11%
57.4,2020-05-25,41.89,3.66%
57.4,2020-05-11,38.82,-6.18%
57.4,2020-04-27,40.92,0.37%
57.4,2020-04-13,43.13,-1.92%
57.4,2020-03-30,39.33,2.38%
57.4,2020-03-16,34.37,-20.29%
57.4,2020-03-02,49.16,3.31%
57.4,2020-02-17,53.49,0.30%
57.4,2020-02-03,52.66,1.35%
57.4,2020-01-20,51.31,1.30%
57.4,2020-01-06,49.4,1.54%
57.4,2019-12-23,49.24,0.69%
57.4,2019-12-09,48.41,0.00%
57.4,2019-11-25,47.15,0.70%
225.13,2023-11-20,225.13,1.77%
225.13,2023-11-06,213.63,2.97%
225.13,2023-10-23,196.57,-3.51%
225.13,2023-10-09,204.59,-1.34%
225.13,2023-09-25,202.78,-1.77%
225.13,2023-09-11,214.61,-4.52%
225.13,2023-08-28,221.53,5.76%
225.13,2023-08-14,204.83,-1.85%
225.13,2023-07-31,214.59,-4.88%
225.13,2023-07-17,228.06,-0.55%
225.13,2023-07-03,209.59,-0.79%
225.13,2023-06-19,210.09,-0.79%
225.13,2023-06-05,215.31,1.07%
225.13,2023-05-22,215.44,2.41%
225.13,2023-05-08,201.81,2.14%
225.13,2023-04-24,198.37,-0.33%
225.13,2023-04-10,194.65,1.09%
225.13,2023-03-27,199.78,5.11%
225.13,2023-03-13,184.85,6.74%
225.13,2023-02-27,186.43,14.94%
225.13,2023-02-13,165.17,-1.11%
225.13,2023-01-30,171.04,3.96%
225.13,2023-01-16,151.25,1.16%
225.13,2023-01-02,140.51,5.97%
225.13,2022-12-19,129.44,0.91%
225.13,2022-12-05,131.11,-9.30%
225.13,2022-11-21,153.35,3.59%
225.13,2022-11-07,157.73,12.85%
225.13,2022-10-24,163.02,1.78%
225.13,2022-10-10,142.22,-5.37%
225.13,2022-09-26,143.84,-2.16%
225.13,2022-09-12,151.51,-6.81%
225.13,2022-08-29,153.69,-6.98%
225.13,2022-08-15,183.77,-3.22%
225.13,2022-08-01,190.17,3.34%
225.13,2022-07-18,182.47,9.02%
225.13,2022-07-04,175.5,4.34%
225.13,2022-06-20,185.92,13.88%
225.13,2022-06-06,178.45,-3.49%
225.13,2022-05-23,165.1,3.41%
225.13,2022-05-09,166.91,-1.64%
225.13,2022-04-25,175.94,2.63%
225.13,2022-04-11,189.41,-3.94%
225.13,2022-03-28,212.25,0.58%
225.13,2022-03-14,218.8,10.56%
225.13,2022-02-28,203.01,-2.44%
225.13,2022-02-14,196.84,-5.32%
225.13,2022-01-31,219.23,-1.31%
225.13,2022-01-17,218.63,-5.45%
225.13,2022-01-03,228.31,-10.16%
225.13,2021-12-20,253.14,0.08%
225.13,2021-12-06,266.03,2.98%
225.13,2021-11-22,284.21,-5.63%
225.13,2021-11-08,306.65,-0.20%
225.13,2021-10-25,299.69,2.44%
225.13,2021-10-11,291.66,7.04%
225.13,2021-09-27,275.26,-3.63%
225.13,2021-09-13,260.53,1.29%
225.13,2021-08-30,267.08,0.21%
225.13,2021-08-16,256.13,1.82%
225.13,2021-08-02,250.59,3.58%
225.13,2021-07-19,248.25,4.12%
225.13,2021-07-05,245.06,-1.27%
225.13,2021-06-21,241.87,-0.37%
225.13,2021-06-07,240.31,1.19%
225.13,2021-05-24,238.1,6.97%
225.13,2021-05-10,217.66,0.54%
225.13,2021-04-26,230.32,-1.37%
225.13,2021-04-12,231.91,0.27%
225.13,2021-03-29,218.72,4.61%
225.13,2021-03-15,212.2,0.00%
225.13,2021-03-01,210.76,-2.65%
225.13,2021-02-15,246.56,2.58%
225.13,2021-02-01,238.89,5.91%
225.13,2021-01-18,225.77,5.93%
225.13,2021-01-04,222.04,-0.22%
225.13,2020-12-21,225.78,-0.73%
225.13,2020-12-07,222.42,-1.52%
225.13,2020-11-23,247.63,-4.03%
225.13,2020-11-09,249.51,-4.09%
225.13,2020-10-26,232.27,-7.28%
225.13,2020-10-12,258.55,-2.79%
225.13,2020-09-28,247.85,2.11%
225.13,2020-09-14,242.78,-0.13%
225.13,2020-08-31,254.7,-6.05%
225.13,2020-08-17,207.53,7.27%
225.13,2020-08-03,201.05,3.18%
225.13,2020-07-20,188.49,0.38%
225.13,2020-07-06,198.88,3.30%
225.13,2020-06-22,183.17,-2.02%
225.13,2020-06-08,175.11,0.71%
225.13,2020-05-25,174.79,-1.72%
225.13,2020-05-11,171.33,-2.60%
225.13,2020-04-27,156.37,1.55%
225.13,2020-04-13,162.62,5.22%
225.13,2020-03-30,134.31,-8.01%
225.13,2020-03-16,139.35,-5.70%
225.13,2020-03-02,164.08,-3.71%
225.13,2020-02-17,189.5,-0.24%
225.13,2020-02-03,185.72,1.87%
225.13,2020-01-20,182.11,-0.07%
225.13,2020-01-06,180.2,8.44%
225.13,2019-12-23,164.98,0.26%
225.13,2019-12-09,161.13,1.97%
225.13,2019-11-25,162.89,0.05%
474.47,2023-11-20,474.47,1.84%
474.47,2023-11-06,447.24,3.44%
474.47,2023-10-23,397.87,-0.77%
474.47,2023-10-09,355.68,-6.77%
474.47,2023-09-25,377.6,-0.58%
474.47,2023-09-11,396.94,-10.36%
474.47,2023-08-28,439.88,5.73%
474.47,2023-08-14,404.53,-4.06%
474.47,2023-07-31,431.6,1.37%
474.47,2023-07-17,427.5,-3.26%
474.47,2023-07-03,438.1,-0.54%
474.47,2023-06-19,424.02,-1.84%
474.47,2023-06-05,420.02,4.88%
474.47,2023-05-22,378.88,3.70%
474.47,2023-05-08,339.89,5.31%
474.47,2023-04-24,329.93,0.59%
474.47,2023-04-10,338.63,-0.21%
474.47,2023-03-27,345.48,5.20%
474.47,2023-03-13,303.5,3.67%
474.47,2023-02-27,315.18,-0.62%
474.47,2023-02-13,347.96,0.17%
474.47,2023-01-30,365.9,1.42%
474.47,2023-01-16,342.5,2.91%
474.47,2023-01-02,315.55,7.01%
474.47,2022-12-19,294.96,1.46%
474.47,2022-12-05,320.01,-0.12%
474.47,2022-11-21,285.54,-0.85%
474.47,2022-11-07,290.13,11.25%
474.47,2022-10-24,295.72,2.12%
474.47,2022-10-10,230.0,2.34%
474.47,2022-09-26,235.44,3.99%
474.47,2022-09-12,240.13,2.81%
474.47,2022-08-29,226.11,1.27%
474.47,2022-08-15,241.16,-3.27%
474.47,2022-08-01,226.78,0.84%
474.47,2022-07-18,220.44,16.57%
474.47,2022-07-04,186.98,3.91%
474.47,2022-06-20,190.85,8.74%
474.47,2022-06-06,182.94,-8.06%
474.47,2022-05-23,195.19,4.74%
474.47,2022-05-09,187.64,3.69%
474.47,2022-04-25,190.36,-11.67%
474.47,2022-04-11,341.13,-4.14%
474.47,2022-03-28,373.47,-0.10%
474.47,2022-03-14,380.6,11.84%
474.47,2022-02-28,361.73,-7.44%
474.47,2022-02-14,391.29,-0.01%
474.47,2022-01-31,410.17,6.72%
474.47,2022-01-17,397.5,-24.39%
474.47,2022-01-03,541.06,-10.19%
474.47,2021-12-20,614.09,4.66%
474.47,2021-12-06,611.66,1.58%
474.47,2021-11-22,665.64,-1.94%
474.47,2021-11-08,682.61,5.71%
474.47,2021-10-25,690.31,3.84%
474.47,2021-10-11,628.29,-0.69%
474.47,2021-09-27,613.15,3.50%
474.47,2021-09-13,589.35,-1.57%
474.47,2021-08-30,590.53,5.66%
474.47,2021-08-16,546.88,6.00%
474.47,2021-08-02,520.55,0.58%
474.47,2021-07-19,515.41,-2.81%
474.47,2021-07-05,535.98,0.37%
474.47,2021-06-21,527.07,5.25%
474.47,2021-06-07,488.77,-1.21%
474.47,2021-05-24,502.81,0.99%
474.47,2021-05-10,493.37,-2.08%
474.47,2021-04-26,513.47,1.57%
474.47,2021-04-12,546.54,-1.58%
474.47,2021-03-29,539.42,6.17%
474.47,2021-03-15,512.18,-1.13%
474.47,2021-03-01,516.39,-4.17%
474.47,2021-02-15,540.22,-2.93%
474.47,2021-02-01,550.79,3.46%
474.47,2021-01-18,565.17,13.49%
474.47,2021-01-04,510.4,-5.61%
474.47,2020-12-21,513.97,-3.83%
474.47,2020-12-07,503.22,0.99%
474.47,2020-11-23,491.36,0.64%
474.47,2020-11-09,482.84,-6.20%
474.47,2020-10-26,475.74,-2.57%
474.47,2020-10-12,530.79,-1.60%
474.47,2020-09-28,503.06,4.18%
474.47,2020-09-14,469.96,-2.50%
474.47,2020-08-31,516.05,-1.50%
474.47,2020-08-17,492.31,2.00%
474.47,2020-08-03,494.73,1.20%
474.47,2020-07-20,480.45,-2.54%
474.47,2020-07-06,548.73,15.06%
474.47,2020-06-22,443.4,-2.27%
474.47,2020-06-08,418.07,-0.36%
474.47,2020-05-25,419.73,-2.23%
474.47,2020-05-11,454.19,4.28%
474.47,2020-04-27,415.27,-2.29%
474.47,2020-04-13,422.96,14.09%
474.47,2020-03-30,361.76,1.30%
474.47,2020-03-16,332.83,-1.03%
474.47,2020-03-02,368.97,-0.02%
474.47,2020-02-17,380.07,-0.09%
